County,2020,2021,2022
Mathews,"61,846","65,601","67,870"
Mecklenburg,"41,327","46,240","45,526"
Middlesex,"55,313","58,916","60,298"
Nelson,"57,271","62,809","64,673"
New Kent,"88,570","96,350","102,849"
Northampton,"59,493","66,944","64,220"
Northumberland,"59,113","62,129","61,421"
Nottoway,"37,003","42,482","44,913"
Orange,"55,580","59,065","58,942"
Page,"41,945","46,386","49,085"
Patrick,"36,305","39,098","40,272"
Powhatan,"60,942","64,880","67,908"
Prince Edward,"35,765","38,914","39,525"
Pulaski,"42,545","46,473","48,108"
Rappahannock,"70,931","76,658","79,425"
Richmond,"41,905","43,849","42,685"
Russell,"37,054","39,578","40,218"
Scott,"35,773","38,845","39,605"
Shenandoah,"49,287","54,485","56,745"
Smyth,"40,203","43,209","44,461"
Stafford,"59,185","62,717","65,233"
Surry,"46,414","51,886","52,428"
Sussex,"34,627","38,068","37,755"
Tazewell,"40,281","42,923","43,986"
Warren,"50,951","54,916","56,144"
Westmoreland,"48,096","50,698","50,626"
Wythe,"39,530","43,121","44,566"
Independent cities:,,,
Alexandria,"91,012","103,831","105,239"
Chesapeake,"53,172","57,176","58,478"
Hampton,"45,149","48,577","48,525"
Newport News,"43,197","46,919","46,873"
Norfolk,"41,955","46,919","47,898"
Portsmouth,"43,042","45,825","46,025"
Richmond,"62,602","68,799","71,174"
Roanoke,"45,563","49,714","50,807"
Suffolk,"54,783","59,366","60,770"
Virginia Beach,"59,597","64,454","65,986"
Combination areas2:,,,
Albemarle + Charlottesville,"75,998","88,287","91,201"
Alleghany + Covington,"41,854","44,968","46,250"
"Augusta, Staunton + Waynesboro","47,467","51,192","52,910"
Campbell + Lynchburg,"41,668","44,800","45,413"
Carroll + Galax,"40,288","43,267","44,770"
"Dinwiddie, Colonial Heights + Petersburg","43,022","46,035","45,870"
"Fairfax, Fairfax City + Falls Church","88,291","97,278","101,400"
Frederick + Winchester,"55,344","60,095","62,259"
Greensville + Emporia,"35,051","39,039","39,233"
Henry + Martinsville,"41,842","45,512","47,455"
James City + Williamsburg,"67,364","73,332","75,891"
Montgomery + Radford,"40,112","43,739","45,379"
Pittsylvania + Danville,"40,604","43,930","44,986"
Prince George + Hopewell,"37,703","39,464","39,733"
"Prince William, Manassas + Manassas Park","58,552","62,083","63,701"
Roanoke + Salem,"53,180","57,071","59,109"
"Rockbridge, Buena Vista + Lexington","43,625","46,574","48,356"
Rockingham + Harrisonburg,"43,349","48,056","51,466"
Southampton + Franklin,"45,518","49,029","50,266"
Spotsylvania + Fredericksburg,"56,272","60,595","62,617"
Washington + Bristol,"42,738","45,963","46,706"
Wise + Norton,"37,115","40,444","41,103"
York + Poquoson,"61,149","65,791","67,917"
,,,
Washington,"67,674","74,188","75,332"
Adams,"43,788","47,196","47,933"
Asotin,"49,729","53,209","54,340"
Benton,"50,724","54,663","54,454"
Chelan,"57,951","62,422","62,685"
Clallam,"50,927","55,026","55,566"
Clark,"57,827","63,923","65,522"
Columbia,"58,030","60,341","62,566"
Cowlitz,"49,999","54,131","54,630"
Douglas,"45,851","49,319","49,114"
Ferry,"43,440","46,528","44,144"
Franklin,"42,484","46,781","46,072"
Garfield,"55,960","56,136","58,112"
Grant,"45,301","48,927","48,963"
Grays Harbor,"43,766","47,304","46,878"
Island,"59,211","63,973","65,564"
Jefferson,"56,431","61,489","62,898"
King,"99,372","111,117","113,819"
Kitsap,"62,192","66,919","68,198"
Kittitas,"50,834","55,250","55,076"
Klickitat,"51,544","54,250","53,305"
Lewis,"48,860","51,688","52,769"
Lincoln,"50,818","53,383","51,953"
Mason,"47,670","51,104","51,375"
Okanogan,"46,649","50,688","49,552"
Pacific,"43,984","47,323","46,498"
Pend Oreille,"46,684","49,572","48,892"
Pierce,"55,533","59,466","59,986"
San Juan,"81,257","84,969","89,744"
Skagit,"57,890","62,412","62,915"
Skamania,"56,122","61,570","62,472"
Snohomish,"62,805","67,885","69,010"
Spokane,"49,083","54,474","54,223"
Stevens,"42,694","47,157","46,750"
Thurston,"54,831","59,001","59,697"
Wahkiakum,"48,913","49,604","50,372"
Walla Walla,"49,569","54,897","55,436"
Whatcom,"53,867","58,581","58,993"
Whitman,"44,263","51,235","46,672"
Yakima,"45,996","49,637","49,266"
,,,
West Virginia,"45,071","49,071","49,993"
Barbour,"38,272","40,850","40,399"
Berkeley,"47,706","51,249","52,264"
Boone,"37,561","41,306","41,275"
Braxton,"39,213","40,732","40,079"
Brooke,"44,893","49,183","50,324"
Cabell,"46,125","49,977","51,125"
Calhoun,"38,866","41,735","40,741"
Clay,"36,085","38,819","38,450"
Doddridge,"34,487","37,305","39,087"
Fayette,"40,368","44,327","44,814"
Gilmer,"33,347","35,155","35,411"
Grant,"42,169","45,794","46,333"
Greenbrier,"43,919","47,207","47,304"
Hampshire,"41,686","45,450","46,303"
Hancock,"45,903","50,108","50,824"
Hardy,"35,778","40,786","43,795"
Harrison,"52,777","57,617","59,058"
Jackson,"42,303","45,039","45,467"
Jefferson,"56,828","61,633","63,434"
Kanawha,"51,353","55,950","57,174"
Lewis,"40,809","43,661","43,632"
Lincoln,"33,884","36,733","36,763"
Logan,"38,968","42,251","42,308"
McDowell,"30,972","33,979","34,283"
Marion,"45,524","48,983","48,998"
Marshall,"42,645","47,095","48,766"
Mason,"38,848","42,060","42,115"
Mercer,"41,342","44,605","44,763"
Mineral,"46,579","49,460","48,818"
Mingo,"33,906","36,541","36,646"
Monongalia,"49,914","54,245","55,218"
Monroe,"37,942","40,916","40,382"
Morgan,"41,577","45,602","45,105"
Nicholas,"37,945","40,452","40,599"
Ohio,"56,802","64,371","66,701"
Pendleton,"45,045","50,217","54,365"
Pleasants,"45,294","48,406","49,208"
Pocahontas,"48,098","51,038","50,751"
Preston,"39,580","42,639","42,407"
Putnam,"49,979","53,968","55,827"
Raleigh,"43,723","47,566","48,285"
Randolph,"42,358","45,660","45,636"
Ritchie,"48,135","52,021","54,852"
Roane,"36,853","39,228","39,056"
Summers,"39,487","42,791","43,026"
Taylor,"44,533","48,851","49,161"
Tucker,"47,843","53,215","55,157"
Tyler,"44,416","50,394","56,445"
Upshur,"38,304","40,959","41,230"
Wayne,"38,047","40,917","41,922"
Webster,"33,084","33,543","32,597"
Wetzel,"39,966","43,917","45,280"
Wirt,"37,555","40,977","39,663"
Wood,"48,300","55,537","58,325"
Wyoming,"31,846","34,573","35,181"
,,,
Wisconsin,"55,431","60,381","61,475"
Adams,"43,993","46,112","44,696"
Ashland,"43,573","46,557","46,014"
Barron,"54,519","56,928","58,029"
Bayfield,"49,990","53,818","52,963"
Brown,"56,965","60,799","62,519"
Buffalo,"49,669","54,431","55,319"
Burnett,"45,180","48,389","48,081"
Calumet,"54,563","58,066","58,999"
Chippewa,"50,119","53,732","54,474"
Clark,"47,556","50,125","51,365"
Columbia,"56,124","60,878","61,542"
Crawford,"46,646","50,089","50,741"
Dane,"65,500","72,511","73,726"
Dodge,"47,464","51,562","52,398"
Door,"65,788","70,363","71,130"
Douglas,"45,619","49,342","49,469"
Dunn,"44,574","49,794","49,324"
Eau Claire,"51,690","56,403","57,320"
Florence,"54,969","61,327","62,285"
Fond du Lac,"52,419","56,667","58,204"
Forest,"44,504","46,167","45,248"
Grant,"47,534","51,475","52,264"
Green,"56,709","60,288","61,416"
Green Lake,"46,978","51,152","51,819"
Iowa,"53,207","58,191","58,797"
Iron,"50,456","53,379","53,626"
Jackson,"48,388","50,110","50,097"
Jefferson,"49,776","53,886","55,023"
Juneau,"42,804","46,547","46,696"
Kenosha,"52,288","56,471","58,255"
Kewaunee,"52,538","56,598","57,770"
La Crosse,"53,817","59,705","60,463"
Lafayette,"47,826","50,750","52,048"
Langlade,"47,949","51,018","50,852"
Lincoln,"49,761","52,544","53,038"
Manitowoc,"49,295","53,633","54,592"
Marathon,"54,405","59,089","59,949"
Marinette,"47,230","51,745","52,260"
Marquette,"46,069","48,932","49,041"
Menominee,"37,076","41,300","41,435"
Milwaukee,"50,651","55,965","56,188"
Monroe,"46,143","49,825","50,008"
Oconto,"49,649","53,227","53,823"
Oneida,"52,255","55,494","56,013"
Outagamie,"55,048","59,276","60,352"
Ozaukee,"86,875","95,076","99,817"
Pepin,"54,852","59,472","60,146"
Pierce,"51,054","57,563","58,338"
Polk,"49,838","53,479","54,302"
Portage,"50,335","54,681","54,375"
Price,"47,741","51,261","51,846"
Racine,"52,951","56,680","57,574"
Richland,"47,428","50,606","51,382"
Rock,"47,909","51,955","52,517"
Rusk,"47,883","52,068","52,712"
St. Croix,"59,624","65,129","67,477"
Sauk,"55,652","62,446","62,052"
Sawyer,"46,857","51,291","50,990"
Shawano,"46,611","50,004","50,444"
Sheboygan,"54,964","58,813","60,359"
Taylor,"47,024","50,581","50,045"
Trempealeau,"46,904","50,846","51,281"
Vernon,"45,808","49,833","50,622"
Vilas,"54,842","59,002","59,807"
Walworth,"55,245","61,316","62,828"
Washburn,"50,675","55,481","55,362"
Washington,"61,808","66,651","68,705"
Waukesha,"76,931","84,113","87,582"
Waupaca,"49,255","53,368","54,632"
Waushara,"43,781","46,976","46,697"
Winnebago,"51,855","56,253","56,878"
Wood,"49,588","52,678","53,162"
,,,
Wyoming,"65,558","70,522","73,248"
Albany,"46,450","49,551","50,632"
Big Horn,"43,730","46,449","46,614"
Campbell,"53,982","55,649","56,374"
Carbon,"61,885","63,190","67,105"
Converse,"65,990","64,817","65,733"
Crook,"53,149","54,778","57,399"
Fremont,"49,046","50,897","52,497"
Goshen,"48,258","50,662","50,629"
Hot Springs,"72,084","71,660","71,070"
Johnson,"58,284","60,771","61,956"
Laramie,"55,842","58,724","59,148"
Lincoln,"53,640","61,303","63,195"
Natrona,"63,738","66,986","68,472"
Niobrara,"52,357","56,356","55,166"
Park,"61,527","62,836","65,164"
Platte,"52,855","54,039","55,397"
Sheridan,"59,264","65,011","66,790"
Sublette,"62,970","59,865","61,584"
Sweetwater,"54,708","56,252","58,374"
Teton,"300,665","362,522","406,054"
Uinta,"42,289","44,358","44,775"
Washakie,"55,098","54,898","55,288"
Weston,"49,854","49,734","50,987"
"1. Per capita personal income was computed using U.S. Census Bureau midyear population estimates for 2020 through 2022, released in March 2023.",,,
"2. Virginia combination areas consist of 1 or 2 independent cities with populations of less than 100,000 combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination areas are not available.",,,
U.S. Bureau of Economic Analysis,,,
