County,2020,2021,2022
Dooly,"40,575","44,318","44,793"
Dougherty,"40,963","46,317","44,681"
Douglas,"40,654","43,855","43,652"
Early,"40,613","43,753","42,119"
Echols,"33,421","34,042","32,683"
Effingham,"44,578","48,134","48,223"
Elbert,"38,764","41,816","42,537"
Emanuel,"37,954","39,913","39,039"
Evans,"36,944","40,397","40,564"
Fannin,"42,947","48,239","49,594"
Fayette,"68,059","72,745","75,294"
Floyd,"40,944","44,304","44,126"
Forsyth,"69,446","74,888","79,382"
Franklin,"35,942","40,700","44,078"
Fulton,"92,999","101,688","100,614"
Gilmer,"38,423","43,216","45,291"
Glascock,"38,951","40,287","39,345"
Glynn,"52,711","58,513","60,033"
Gordon,"38,340","42,973","44,793"
Grady,"35,506","39,012","38,487"
Greene,"64,295","74,348","75,927"
Gwinnett,"45,934","50,121","50,866"
Habersham,"36,900","39,411","40,155"
Hall,"50,009","55,175","57,416"
Hancock,"32,954","34,989","35,521"
Haralson,"40,931","44,439","45,136"
Harris,"52,912","57,086","58,675"
Hart,"41,239","44,058","45,862"
Heard,"36,454","40,731","41,968"
Henry,"42,920","46,657","46,921"
Houston,"45,424","49,215","48,082"
Irwin,"37,537","42,407","42,351"
Jackson,"47,450","51,967","54,880"
Jasper,"43,856","46,114","47,429"
Jeff Davis,"35,062","37,473","36,710"
Jefferson,"38,486","42,752","41,525"
Jenkins,"35,372","37,132","36,807"
Johnson,"31,063","34,010","31,721"
Jones,"40,731","44,451","43,191"
Lamar,"38,930","43,371","43,734"
Lanier,"33,315","35,444","33,834"
Laurens,"40,071","43,821","42,791"
Lee,"46,904","51,314","52,032"
Liberty,"37,957","40,692","39,543"
Lincoln,"45,093","47,353","46,470"
Long,"36,305","40,090","39,887"
Lowndes,"41,402","44,477","43,907"
Lumpkin,"41,703","47,783","47,019"
McDuffie,"40,851","43,733","42,460"
McIntosh,"44,612","47,733","47,623"
Macon,"36,073","39,600","43,120"
Madison,"39,779","43,702","46,486"
Marion,"35,876","38,321","38,071"
Meriwether,"40,598","44,167","43,980"
Miller,"47,693","52,357","51,093"
Mitchell,"41,465","43,784","44,143"
Monroe,"48,798","53,965","54,195"
Montgomery,"35,668","38,210","37,167"
Morgan,"53,448","58,058","60,452"
Murray,"33,208","37,075","37,457"
Muscogee,"44,073","48,080","48,049"
Newton,"38,876","41,815","41,639"
Oconee,"71,183","76,252","79,902"
Oglethorpe,"40,391","44,545","47,054"
Paulding,"43,299","46,884","48,143"
Peach,"41,448","44,734","43,892"
Pickens,"52,304","58,572","60,616"
Pierce,"40,089","41,747","41,663"
Pike,"45,095","49,130","50,712"
Polk,"36,460","39,300","39,642"
Pulaski,"37,981","42,590","40,998"
Putnam,"49,113","53,678","54,458"
Quitman,"39,618","37,213","36,631"
Rabun,"45,591","52,091","52,393"
Randolph,"40,796","43,575","41,988"
Richmond,"41,139","43,706","42,289"
Rockdale,"38,989","41,988","41,230"
Schley,"40,815","43,260","43,455"
Screven,"37,679","40,782","39,929"
Seminole,"45,167","47,608","46,167"
Spalding,"38,420","42,951","41,959"
Stephens,"39,309","43,679","44,891"
Stewart,"30,574","33,130","35,666"
Sumter,"40,077","43,580","42,832"
Talbot,"43,391","46,201","46,351"
Taliaferro,"38,125","40,684","43,649"
Tattnall,"31,015","34,632","36,710"
Taylor,"35,174","39,674","38,099"
Telfair,"27,953","30,222","28,393"
Terrell,"42,725","46,819","45,283"
Thomas,"47,490","53,241","53,576"
Tift,"41,453","45,381","44,567"
Toombs,"39,384","42,723","41,673"
Towns,"44,133","47,696","47,620"
Treutlen,"35,317","37,701","36,373"
Troup,"41,256","44,969","44,692"
Turner,"34,183","38,251","36,913"
Twiggs,"41,146","44,766","44,484"
Union,"41,837","45,300","44,591"
Upson,"37,311","41,489","41,014"
Walker,"37,808","41,559","42,301"
Walton,"46,685","50,561","51,707"
Ware,"36,443","39,081","38,420"
Warren,"40,325","41,327","40,184"
Washington,"39,941","40,814","40,316"
Wayne,"35,791","38,894","37,869"
Webster,"39,904","40,385","39,491"
Wheeler,"22,265","23,257","23,545"
White,"43,654","47,944","49,331"
Whitfield,"42,967","44,941","45,299"
Wilcox,"28,791","32,436","33,327"
Wilkes,"42,687","47,613","52,916"
Wilkinson,"39,924","42,739","43,102"
Worth,"38,257","41,792","40,968"
,,,
Hawaii,"57,036","61,464","61,779"
Hawaii,"45,549","50,585","49,476"
Honolulu,"60,273","64,193","64,936"
Kauai,"53,025","56,983","56,697"
Maui + Kalawao,"52,923","60,287","60,376"
,,,
Idaho,"49,691","54,148","56,614"
Ada,"58,150","64,113","67,555"
Adams,"39,623","42,499","43,730"
Bannock,"42,524","46,362","47,457"
Bear Lake,"44,640","46,141","48,506"
Benewah,"42,995","44,159","43,568"
Bingham,"41,045","45,218","46,908"
Blaine,"124,919","146,618","165,640"
Boise,"50,622","51,106","53,627"
Bonner,"48,711","51,235","51,980"
Bonneville,"59,981","61,768","62,984"
Boundary,"41,837","46,100","45,392"
Butte,"49,511","49,912","53,691"
Camas,"52,455","54,503","61,839"
Canyon,"39,271","43,676","45,412"
Caribou,"47,704","45,940","48,447"
Cassia,"48,779","50,609","54,637"
Clark,"46,771","41,290","47,270"
Clearwater,"39,603","42,599","43,539"
Custer,"46,091","48,762","51,352"
Elmore,"38,790","42,575","43,302"
Franklin,"40,092","44,036","44,275"
Fremont (includes Yellowstone National Park),"41,537","44,513","46,611"
Gem,"42,200","45,380","46,896"
Gooding,"62,867","63,627","72,945"
Idaho,"39,131","44,130","44,315"
Jefferson,"40,302","43,633","45,376"
Jerome,"41,526","43,198","45,665"
Kootenai,"51,986","57,652","60,474"
Latah,"47,116","51,378","52,627"
Lemhi,"47,476","51,920","54,050"
Lewis,"57,498","58,994","60,480"
Lincoln,"43,404","45,382","51,693"
Madison,"24,804","27,212","27,836"
Minidoka,"44,768","45,297","47,934"
Nez Perce,"47,492","51,923","54,421"
Oneida,"41,784","45,526","46,699"
Owyhee,"41,576","44,735","48,250"
Payette,"43,140","46,224","48,642"
Power,"45,803","42,234","47,617"
Shoshone,"41,787","44,972","45,311"
Teton,"49,636","57,376","62,194"
Twin Falls,"43,529","47,217","49,019"
Valley,"54,698","61,529","64,666"
Washington,"39,867","41,301","43,417"
,,,
Illinois,"61,587","67,278","67,655"
Adams,"51,390","56,077","56,218"
Alexander,"45,957","49,757","48,741"
Bond,"41,032","45,397","45,366"
Boone,"50,554","55,444","55,513"
Brown,"41,939","44,437","46,761"
Bureau,"46,708","52,339","51,583"
Calhoun,"50,511","55,169","55,438"
Carroll,"45,317","51,292","51,788"
Cass,"44,159","49,296","50,030"
Champaign,"50,158","54,619","54,633"
Christian,"43,724","48,907","49,053"
Clark,"45,044","51,184","51,125"
Clay,"43,275","50,033","49,215"
Clinton,"53,243","57,816","58,868"
Coles,"48,069","52,751","52,162"
Cook,"66,952","72,979","72,847"
Crawford,"48,592","51,798","52,188"
Cumberland,"78,838","87,319","89,427"
DeKalb,"47,111","50,917","51,005"
De Witt,"51,458","57,609","57,270"
Douglas,"54,884","61,267","62,992"
DuPage,"78,904","86,772","88,588"
Edgar,"48,011","55,368","56,293"
Edwards,"45,159","50,416","49,808"
Effingham,"55,121","61,059","62,321"
Fayette,"39,967","45,045","44,553"
Ford,"56,320","62,397","64,367"
Franklin,"42,160","45,905","45,261"
Fulton,"43,302","47,340","47,964"
Gallatin,"45,270","54,033","54,579"
Greene,"44,325","51,940","53,359"
Grundy,"59,249","59,926","60,964"
Hamilton,"47,104","54,007","53,404"
Hancock,"49,333","56,747","56,127"
Hardin,"41,878","45,035","46,014"
Henderson,"47,084","54,943","57,521"
Henry,"50,741","55,952","56,099"
Iroquois,"49,496","55,986","57,391"
Jackson,"43,011","47,156","46,270"
Jasper,"48,923","56,703","56,506"
Jefferson,"44,063","47,955","47,153"
Jersey,"47,920","52,386","52,423"
Jo Daviess,"51,002","57,672","58,113"
Johnson,"37,234","39,800","39,362"
Kane,"58,284","63,094","63,889"
Kankakee,"47,418","51,692","51,048"
Kendall,"53,667","57,385","58,683"
Knox,"43,169","47,519","46,991"
Lake,"81,516","91,061","94,022"
LaSalle,"48,757","52,830","53,325"
Lawrence,"35,269","40,123","39,371"
Lee,"46,791","51,795","52,103"
Livingston,"50,312","56,919","56,782"
Logan,"42,550","47,957","48,267"
McDonough,"44,340","48,639","48,091"
McHenry,"59,795","64,203","65,807"
McLean,"54,939","59,244","58,178"
Macon,"51,474","56,437","56,774"
Macoupin,"46,127","51,201","51,047"
Madison,"51,122","55,649","55,991"
Marion,"46,546","50,225","50,032"
Marshall,"49,230","55,065","56,882"
Mason,"47,446","54,857","56,174"
Massac,"41,652","45,574","44,953"
Menard,"50,117","57,108","57,347"
Mercer,"52,030","58,711","59,186"
Monroe,"61,159","68,594","68,762"
Montgomery,"39,597","43,988","43,454"
Morgan,"45,219","50,162","50,027"
Moultrie,"69,066","67,555","75,225"
Ogle,"49,259","54,105","54,751"
Peoria,"52,939","57,149","57,356"
Perry,"40,642","43,763","42,923"
Piatt,"58,006","65,807","67,037"
Pike,"48,877","58,154","55,127"
Pope,"35,657","37,572","36,510"
Pulaski,"42,112","46,988","45,893"
Putnam,"59,520","66,833","66,956"
Randolph,"43,565","47,044","46,444"
Richland,"45,472","51,006","52,031"
Rock Island,"46,322","49,395","48,787"
St. Clair,"50,312","54,909","54,666"
Saline,"42,052","46,565","46,756"
Sangamon,"52,360","57,872","57,167"
Schuyler,"48,420","52,500","53,407"
Scott,"47,095","55,167","55,644"
Shelby,"46,049","52,290","52,615"
Stark,"50,407","61,073","62,672"
Stephenson,"47,302","52,049","52,846"
Tazewell,"51,825","55,357","56,509"
Union,"45,547","48,789","48,155"
Vermilion,"44,276","48,950","49,105"
Wabash,"46,440","52,007","52,172"
Warren,"45,807","52,753","55,383"
Washington,"53,927","60,802","60,586"
Wayne,"42,968","48,355","49,228"
White,"49,292","56,490","56,853"
Whiteside,"47,896","52,211","52,341"
Will,"57,742","62,708","63,653"
Williamson,"48,729","52,165","51,821"
Winnebago,"46,497","50,575","49,920"
Woodford,"56,414","61,565","63,221"
,,,
Indiana,"51,719","56,934","58,323"
Adams,"42,562","47,419","48,653"
Allen,"50,107","55,795","57,245"
Bartholomew,"55,840","59,915","61,920"
Benton,"47,119","53,845","53,842"
Blackford,"39,449","43,819","44,486"
Boone,"77,646","85,736","91,419"
Brown,"52,478","57,432","59,204"
Carroll,"46,931","50,582","50,551"
Cass,"42,919","47,416","47,473"
