State,County,Latitude,Longitude,AQI
Missouri,Clay,39.3105,-94.4209,39
Missouri,Clinton,39.6018,-94.4046,43
Missouri,Greene,37.258,-93.342,43
Missouri,Jackson,39.0085,-94.3461,42
Missouri,Jasper,37.2036,-94.3406,40
Missouri,Jefferson,38.2611,-90.5377,42
Missouri,Lincoln,39.058,-90.96,42
Missouri,Monroe,39.4954,-92.0007,35
Missouri,Perry,37.7072,-89.8244,43
Missouri,Saint Charles,,,43
Missouri,Saint Louis,,,41
Missouri,Sainte Genevieve,,,42
Missouri,St. Louis City,,,45
Montana,Cascade,47.308,-111.347,15
Montana,Custer,46.2527,-105.5717,41
Montana,Fergus,47.2636,-109.2245,42
Montana,Flathead,48.2951,-114.0497,38
Montana,Gallatin,45.5404,-111.1704,23
Montana,Lewis and Clark,47.1224,-112.3905,43
Montana,Lincoln,48.5425,-115.4051,30
Montana,Missoula,47.0365,-113.9237,43
Montana,Phillips,48.2592,-107.9133,37
Montana,Powder River,45.395,-105.6302,40
Montana,Ravalli,46.0817,-114.1207,18
Montana,Richland,47.7879,-104.5614,40
Montana,Sanders,47.6748,-115.1333,23
Montana,Silver Bow,45.9024,-112.6567,19
Montana,Yellowstone,45.9373,-108.2744,21
Nebraska,Cass,40.9097,-96.1409,20
Nebraska,Douglas,41.2953,-96.1543,41
Nebraska,Gage,40.2619,-96.6894,20
Nebraska,Hall,40.8726,-98.5022,21
Nebraska,Knox,42.6368,-97.8919,39
Nebraska,Lancaster,40.7842,-96.6878,37
Nebraska,Sarpy,41.1129,-96.112,23
Nebraska,Scotts Bluff,41.8506,-103.708,13
Nebraska,Washington,41.5311,-96.222,13
Nevada,Carson City,39.1511,-119.7476,42
Nevada,Churchill,39.5809,-118.3358,40
Nevada,Clark,36.2152,-115.0135,63
Nevada,Douglas,38.9123,-119.6162,13
Nevada,Elko,41.1457,-115.3577,15
Nevada,Lyon,39.0206,-119.189,40
Nevada,Nye,38.0423,-116.4719,22
Nevada,Washoe,40.6655,-119.6643,47
Nevada,White Pine,39.4421,-114.9016,44
New Hampshire,Belknap,43.5179,-71.4227,34
New Hampshire,Cheshire,42.9193,-72.2512,38
New Hampshire,Coos,44.6896,-71.3056,41
New Hampshire,Grafton,43.9407,-71.8208,37
New Hampshire,Hillsborough,42.9153,-71.7161,41
New Hampshire,Merrimack,43.2975,-71.6802,39
New Hampshire,Rockingham,42.9875,-71.1254,40
New Jersey,Atlantic,39.4777,-74.661,34
New Jersey,Bergen,40.9597,-74.0742,39
New Jersey,Camden,39.8035,-74.9597,44
New Jersey,Cumberland,39.3738,-75.1107,38
New Jersey,Essex,40.7872,-74.247,40
New Jersey,Gloucester,39.7173,-75.1414,43
New Jersey,Hudson,40.7371,-74.0779,41
New Jersey,Hunterdon,40.5673,-74.9122,40
New Jersey,Mercer,40.2834,-74.7018,42
New Jersey,Middlesex,40.4392,-74.4117,40
New Jersey,Monmouth,40.2603,-74.2213,39
New Jersey,Morris,40.862,-74.5445,39
New Jersey,Ocean,39.8855,-74.2813,40
New Jersey,Passaic,41.0343,-74.3008,37
New Jersey,Union,40.6601,-74.3087,35
New Jersey,Warren,40.8572,-74.9973,37
New Mexico,Bernalillo,35.0514,-106.6702,54
New Mexico,Dona Ana,,,54
New Mexico,Eddy,32.4714,-104.3044,49
New Mexico,Lea,32.7921,-103.4125,45
